Countyname,count1997
Hall,4323
Thayer,1454
Scotts Bluff,747
Dawson,3799
Frontier,681
Adams,2179
Box Butte,1161
Keith,1066
Deuel,329
Holt,2660
Saline,1077
Cedar,615
Custer,1931
Cuming,391
Red Willow,1015
Merrick,5008
Kearney,2070
Fillmore,2111
Nuckolls,722
Dundy,1062
Furnas,797
Franklin,1032
Madison,809
York,2912
Hayes,371
Seward,1275
Hitchcock,568
Clay,2205
Phelps,1972
Buffalo,3876
Lincoln,1932
Dodge,1673
Jefferson,624
Boone,1365
McPherson,105
Butler,1264
Harlan,1027
Polk,1774
Platte,1780
Chase,1451
Gosper,635
Morrill,826
Nemaha,45
Banner,389
Antelope,1780
Hamilton,3067
Wheeler,564
Nance,1111
Colfax,994
Sherman,581
Webster,573
Thurston,95
Wayne,225
Pierce,1029
Washington,114
Saunders,876
Valley,569
Sarpy,126
Greeley,693
Douglas,320
Dixon,154
Burt,473
Garfield,209
Gage,566
Cass,43
Howard,1012
Cherry,424
Sioux,314
Logan,173
Knox,401
Rock,648
Garden,352
Keya Paha,177
Stanton,343
Perkins,903
Cheyenne,555
Lancaster,301
Kimball,350
Brown,457
Sheridan,625
Blaine,111
Grant,26
Johnson,155
Otoe,44
Boyd,58
Arthur,87
Dakota,117
Dawes,80
Loup,114
Thomas,37
Hooker,31
Richardson,21
Pawnee,2
