Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,DAWSON,47,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,"AREA OPERATED: (1,000 TO 1,999 ACRES)","60,611",24.4
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,DAWSON,47,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,AREA OPERATED: (1.0 TO 9.9 ACRES),15,(H)
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,DAWSON,47,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,AREA OPERATED: (10.0 TO 49.9 ACRES),391,22.1
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,DAWSON,47,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,AREA OPERATED: (100 TO 139 ACRES),365,36
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,DAWSON,47,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,AREA OPERATED: (140 TO 179 ACRES),"1,847",34.2
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,DAWSON,47,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,AREA OPERATED: (180 TO 219 ACRES),721,43.3
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,DAWSON,47,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,"AREA OPERATED: (2,000 OR MORE ACRES)","124,196",13.2
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,DAWSON,47,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,AREA OPERATED: (220 TO 259 ACRES),"2,986",34.9
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,DAWSON,47,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,AREA OPERATED: (260 TO 499 ACRES),"18,870",20.5
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,DAWSON,47,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,AREA OPERATED: (50.0 TO 69.9 ACRES),127,42.5
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,DAWSON,47,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,AREA OPERATED: (500 TO 999 ACRES),"37,942",21.7
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,DAWSON,47,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,AREA OPERATED: (70.0 TO 99.9 ACRES),392,31.4
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,DAWSON,47,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",TOTAL,NOT SPECIFIED,"248,463",11
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,GREELEY,77,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,"AREA OPERATED: (1,000 TO 1,999 ACRES)","28,610",24.4
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,GREELEY,77,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,AREA OPERATED: (1.0 TO 9.9 ACRES), (D),(D)
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,GREELEY,77,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,AREA OPERATED: (10.0 TO 49.9 ACRES),51,22.1
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,GREELEY,77,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,AREA OPERATED: (100 TO 139 ACRES), (D),(D)
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,GREELEY,77,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,AREA OPERATED: (140 TO 179 ACRES),324,34.2
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,GREELEY,77,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,AREA OPERATED: (180 TO 219 ACRES),608,43.3
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,GREELEY,77,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,"AREA OPERATED: (2,000 OR MORE ACRES)","37,134",13.2
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,GREELEY,77,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,AREA OPERATED: (220 TO 259 ACRES), (D),(D)
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,GREELEY,77,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,AREA OPERATED: (260 TO 499 ACRES),"6,120",20.5
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,GREELEY,77,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,AREA OPERATED: (500 TO 999 ACRES),"14,859",21.7
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,GREELEY,77,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",TOTAL,NOT SPECIFIED,"88,190",11
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,HALL,79,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,"AREA OPERATED: (1,000 TO 1,999 ACRES)","64,347",24.4
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,HALL,79,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,AREA OPERATED: (1.0 TO 9.9 ACRES),34,(H)
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,HALL,79,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,AREA OPERATED: (10.0 TO 49.9 ACRES),508,22.1
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,HALL,79,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,AREA OPERATED: (100 TO 139 ACRES),"1,082",36
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,HALL,79,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,AREA OPERATED: (140 TO 179 ACRES),"3,523",34.2
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,HALL,79,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,AREA OPERATED: (180 TO 219 ACRES),"1,784",43.3
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,HALL,79,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,"AREA OPERATED: (2,000 OR MORE ACRES)","71,222",13.2
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,HALL,79,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,AREA OPERATED: (220 TO 259 ACRES),"1,385",34.9
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,HALL,79,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,AREA OPERATED: (260 TO 499 ACRES),"17,460",20.5
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,HALL,79,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,AREA OPERATED: (50.0 TO 69.9 ACRES),81,42.5
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,HALL,79,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,AREA OPERATED: (500 TO 999 ACRES),"45,339",21.7
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,HALL,79,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,AREA OPERATED: (70.0 TO 99.9 ACRES),874,31.4
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,HALL,79,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",TOTAL,NOT SPECIFIED,"207,639",11
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,HOWARD,93,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,"AREA OPERATED: (1,000 TO 1,999 ACRES)","46,498",24.4
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,HOWARD,93,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,AREA OPERATED: (1.0 TO 9.9 ACRES),5,(H)
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,HOWARD,93,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,AREA OPERATED: (10.0 TO 49.9 ACRES),505,22.1
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,HOWARD,93,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,AREA OPERATED: (100 TO 139 ACRES),"1,207",36
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,HOWARD,93,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,AREA OPERATED: (140 TO 179 ACRES),"3,482",34.2
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,HOWARD,93,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,AREA OPERATED: (180 TO 219 ACRES),"1,027",43.3
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,HOWARD,93,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,"AREA OPERATED: (2,000 OR MORE ACRES)","22,942",13.2
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,HOWARD,93,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,AREA OPERATED: (220 TO 259 ACRES),"1,964",34.9
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,HOWARD,93,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,AREA OPERATED: (260 TO 499 ACRES),"9,335",20.5
CENSUS,2012,YEAR,,COUNTY,NEBRASKA,31,CENTRAL,50,HOWARD,93,,,0,,AG LAND,"AG LAND, IRRIGATED - ACRES",AREA OPERATED,AREA OPERATED: (50.0 TO 69.9 ACRES), (D),(D)
