Countyname,Wells
Kearney,2324
Sheridan,682
Hall,4520
Dawson,4052
Morrill,1000
Adams,2516
Box Butte,1311
Keith,1279
Deuel,353
Holt,3327
Thayer,1746
Saline,1268
Cedar,1096
Webster,740
Custer,2246
Cuming,525
Red Willow,1043
Merrick,5344
Fillmore,2340
Nuckolls,910
Dundy,1064
Furnas,949
Franklin,1149
Madison,1105
Hayes,518
York,3117
Seward,1454
Hitchcock,589
Clay,2417
Phelps,2275
Buffalo,4130
Dixon,241
Lincoln,2362
Dodge,1891
Jefferson,839
Boone,1664
McPherson,114
Butler,1442
Harlan,1152
Polk,1964
Platte,2142
Wayne,349
Chase,1449
Gosper,769
Nemaha,143
Banner,422
Pierce,1337
Antelope,2435
Hamilton,3148
Wheeler,626
Saunders,1097
Nance,1255
Rock,701
Colfax,1143
Sherman,696
Thurston,130
Scotts Bluff,872
Washington,132
Valley,614
Sarpy,161
Greeley,850
Douglas,388
Burt,544
Garfield,228
Gage,688
Cass,53
Howard,1147
Cherry,544
Sioux,361
Frontier,716
Logan,245
Knox,587
Keya Paha,272
Garden,399
Stanton,449
Loup,128
Lancaster,370
Perkins,928
Cheyenne,601
Kimball,402
Brown,470
Blaine,128
Grant,27
Johnson,220
Otoe,65
Boyd,79
Arthur,90
Dakota,140
Dawes,86
Hooker,31
Thomas,44
Richardson,56
Pawnee,4
