County Name,FIPS Code,Total2014,Total2012,Total2010,Total2008,Total2006,Total2004,Total2002,Total2000,NP2014,NP2012,NP2010,NP2008,NP2006,NP2004,NP2002,NP2000,GOP2014,GOP2012,GOP2010,GOP2008,GOP2006,GOP2004,GOP2002,GOP2000,Dem2014,Dem2012,Dem2010,Dem2008,Dem2006,Dem2004,Dem2002,Dem2000
FRONTIER,063,1861,1890,1936,1990,2083,2093,2050,2038,245,239,231,219,215,198,173,179,1268,1288,1316,1357,1440,1432,1422,1382,344,363,389,407,424,457,452,477
FURNAS,065,3400,3487,3509,3531,3555,3933,3814,4082,520,505,484,436,429,466,433,466,2179,2227,2239,2236,2266,2409,2329,2436,687,752,784,835,839,1039,1047,1180
GAGE,067,13925,14191,15203,16408,16750,16821,15997,15638,2675,2612,2711,2741,2730,2654,2340,2218,6935,6964,7420,7946,8358,8102,7762,7611,4257,4595,5072,5558,5527,5913,5827,5787
GARDEN,069,1514,1523,1550,1620,1633,1665,1721,1794,155,140,131,146,123,130,140,157,1118,1127,1155,1189,1243,1239,1278,1300,237,253,264,281,265,292,300,336
GARFIELD,071,1256,1255,1323,1339,1307,1317,1359,1392,104,109,117,100,97,85,75,72,941,929,961,971,978,971,998,1009,208,216,244,264,231,260,286,311
GOSPER,073,1479,1490,1492,1513,1575,1610,1549,1535,191,182,175,161,167,159,154,160,1016,1013,1003,1016,1073,1092,1026,945,270,294,314,328,333,356,368,430
GRANT,075,486,464,485,487,504,512,521,524,40,37,41,34,28,36,34,32,396,373,381,382,401,388,395,400,50,54,63,70,74,88,92,92
GREELEY,077,1674,1748,1820,1795,1800,1843,1888,1944,163,174,168,134,120,117,114,104,589,588,579,628,644,651,647,651,919,986,1073,1029,1034,1072,1126,1188
HALL,079,32289,31174,31681,32278,32015,32356,31478,31687,6702,6181,6066,5570,5471,4915,4684,4936,16056,15593,15786,16226,16515,16586,16200,16099,9385,9349,9827,10183,9867,10500,10415,10573
HAMILTON,081,6431,6380,6462,6763,6778,7041,6807,6405,901,846,840,866,849,876,782,702,4218,4103,4109,4228,4355,4414,4304,4030,1281,1422,1512,1640,1548,1712,1702,1664
HARLAN,083,2510,2469,2534,2564,2564,2614,2639,2687,336,303,301,291,272,240,224,219,1579,1535,1558,1542,1561,1562,1573,1576,592,628,675,718,723,800,839,890
