Year,Balance,Surcharge
2006,"$2,259,443.41",0.65
2007,"$2,457,508.25",0.65
2008,"$3,577,089.62",0.65
2009,"$4,501,061.70",0.65
2010,"$11,015,639.09",0.65
2011,"$10,813,367.38",0.65
2012,"$11,074,150.06",0.65
2013,"$11,414,732.85",1
2014,"$21,045,807.15",1
2015,"$19,105,078.21",1
