date,neb_balance,neb_surcharge,neb_notes
2015,8120555.8,0.45,
2014,7948205.99,0.45,
2013,8020447.42,0.45,
2012,8137993.9,0.5,
2011,8012693.7,0.5,
2010,7847272.81,0.5,
2009,7701153.41,0.5,
2008,7380870.49,0.5,
2007,6849095.65,0.5,
2006,6045044.82,0.5,
2005,5759442.54,0.5,
2004,5344195.08,0.5,
2003,4931242.88,0.5,
2002,4556158.34,0.5,
2001,2045383.75,0.5,July to Dec 2001
