Name, TotalSnowfall, mcnt
GRAND ISLAND 6.7 NNE, M, 3469
DONIPHAN 2.3 W, M, 3474
CAIRO 0.3 W, M, 3463
WOOD RIVER 4.0 NNE, M, 3612
GRAND ISLAND 0.8 NNE, M, 3527
GRAND ISLAND 8.2 SW, M, 3574
WOOD RIVER 4.9 WSW, M, 3567
WOOD RIVER 5.5 NE, M, 3591
GRAND ISLAND 19.4 W, M, 3602
GRAND ISLAND 1.9 NW, M, 3451
HAMPTON 0.8 ENE, M, 3430
HAMPTON 2.6 ESE, M, 3572
AURORA 1.0 ESE, M, 3529
HAMPTON 0.3 E, M, 3607
GILTNER 1.1 NW, M, 3648
HORDVILLE 3.5 SE, M, 3613
ALMA 0.1 NNW, M, 3542
REPUBLICAN CITY 1.7 NW, M, 3462
HAYES CENTER 6.2 ESE, M, 3464
ELSIE 13.7 SE, M, 3492
HAYES CENTER 0.0 WSW, M, 3556
WAUNETA 5.1 E, M, 3613
HAYES CENTER 5.1 ENE, M, 3467
CULBERTSON 10.1 SSE, M, 3523
STRATTON 3.0 NNW, M, 3489
MULLEN 0.2 ENE, M, 3616
MULLEN 9.7 SW, M, 3585
MULLEN 4.0 SE, M, 3626
ST. PAUL 0.5 ENE, M, 3507
ELBA 2.5 W, M, 3529
BOELUS 0.1 ESE, M, 3624
DILLER 5.6 S, M, 3420
FAIRBURY 8.7 WSW, M, 3534
FAIRBURY 11.4 NW, M, 3559
FAIRBURY 8.8 WNW, M, 3522
FAIRBURY 8.0 NNW, M, 3423
STEELE CITY 1.8 NW, M, 3450
PLYMOUTH 0.1 NW, M, 3620
DAYKIN 1.2 SW, M, 3643
EDDYVILLE 0.0 NW, M, 3599
CHAPPELL 0.3 W, M, 3493
CHAPPELL 0.4 SSE, M, 3588
MAX 0.2 W, M, 3607
BENKELMAN 12.2 NNW, M, 3467
WAUNETA 8.9 S, M, 3592
FRANKLIN 0.3 WNW, M, 3612
FRANKLIN 0.9 NE, M, 3498
CAMBRIDGE 1.5 NNE, M, 3529
EDISON 6.7 SSW, M, 3583
STAMFORD 5.7 SW, M, 3608
HOLBROOK 6.0 S, M, 3603
BEATRICE 7.2 WNW, M, 3639
PICKRELL 2.8 ESE, M, 3641
OSHKOSH 10.9 WSW, M, 3623
OSHKOSH 0.5 N, M, 3474
BURWELL 20.1 NE, M, 3461
BURWELL 5.8 NNE, M, 3633
ELWOOD 23.0 SE, M, 3470
WHITMAN 16.1 SSE, M, 3615
ASHBY 6.2 WSW, M, 3638
WOLBACH 6.4 NW, M, 3618
GRAND ISLAND 0.6 WNW, M, 3604
AURORA 6.5 NNE, M, 3621
ALMA 0.3 NW, M, 3612
ALMA 2.3 NNE, M, 3491
ORLEANS 0.1 SE, M, 3462
TRENTON 3.2 NW, M, 3575
CULBERTSON 2.3 E, M, 3492
STRATTON 7.9 N, M, 3596
STRATTON 1.4 ESE, M, 3481
MINDEN 7.8 NE, M, 3569
AXTELL 2.2 E, M, 3541
OGALLALA 5.8 NE, M, 3591
PAXTON 5.6 SW, M, 3594
BRULE 0.3 E, M, 3493
KIMBALL 0.9 ESE, M, 3481
KIMBALL 0.2 WNW, M, 3618
KIMBALL 5.7 W, M, 3532
DIX 13.0 S, M, 3549
KIMBALL 3.3 W, M, 3632
KIMBALL 7.9 NW, M, 3618
KIMBALL 8.1 WNW, M, 3594
POTTER 7.3 SW, M, 3647
NORTH PLATTE 1.6 W, M, 3594
CURTIS 10.3 NNW, M, 3475
BRADY 0.2 ESE, M, 3594
NORTH PLATTE 12.2 SW, M, 3554
NORTH PLATTE 1.6 N, M, 3491
NORTH PLATTE 8.9 S, M, 3505
TRYON 5.9 NE, M, 3630
CENTRAL CITY 0.8 SSE, M, 3485
CLARKS 2.4 ENE, M, 3455
CENTRAL CITY 8.0 NNW, M, 3625
GRAND ISLAND 3.6 E, M, 3636
MINATARE 9.7 ENE, M, 3557
BRIDGEPORT 3.1 NNW, M, 3600
BRIDGEPORT 4.0 SE, M, 3592
MADRID 0.2 SE, M, 3563
MADRID 6.8 SW, M, 3614
ELSIE 0.1 NE, M, 3608
HOLDREGE 0.5 W, M, 3568
HOLDREGE 0.6 NNE, M, 3568
ELM CREEK 6.3 S, M, 3524
COLUMBUS 1.0 NW, M, 3536
OSCEOLA 0.4 SSW, M, 3575
OSCEOLA 0.7 SSW, M, 3633
MCCOOK 0.6 NW, M, 3629
MCCOOK 0.7 ESE, M, 3455
INDIANOLA 1.4 SSE, M, 3509
WILSONVILLE 6.7 WSW, M, 3546
INDIANOLA 3.4 W, M, 3469
CERESCO 5.0 WNW, M, 3564
MINATARE 4.1 ENE, M, 3523
GERING 9.0 SSW, M, 3489
MINATARE 10.5 N, M, 3504
SCOTTSBLUFF 2.6 ENE, M, 3473
MITCHELL 3.1 N, M, 3622
UTICA 2.5 N, M, 3424
SEWARD 2.5 SSW, M, 3502
MILFORD 0.4 WNW, M, 3595
