Name, TotalSnowfall, mcnt
BOYS TOWN, M, 1418
WATERLOO, M, 1803
MALMO 3 E, M, 3644
DAVID CITY, M, 11
ASHTON, M, 3582
LOUP CITY, M, 168
SCOTTSBLUFF 1 E, M, 2593
BRIDGEPORT 18WSW, M, 2565
BROADWATER 3WNW, M, 2621
FT CALHOUN 4W, M, 2602
BUSHNELL 15S, M, 2677
ORCHARD 9 NNE, M, 2739
BELGRADE, M, 2800
SCOTTSBLUFF 10 N, M, 3177
PLAINSVIEW RCH, M, 2931
DALTON 13W, M, 3066
ANGORA 8 NE, M, 2996
SALEM 5SW, M, 3011
HARRISON 9 NE, M, 3088
AGATE 5N, M, 3158
STANTON 7 NE, M, 3104
HARRISON 4 NW, M, 3203
CHADRON 3 NE, M, 3168
WESTON 3NW, M, 3348
BARADA 3SW, M, 3470
HUMPHREY, M, 3492
PLATTSMOUTH 1E, 291.1, 7
TRYON, M, 1669
Scottsbluff Area, M, 63
Grand Island Area, M, 269
North Platte Area, 236.4, 5
Lincoln Area, M, 248
Norfolk Area, 251.0, 1
Omaha Area, M, 247
Valentine Area, M, 35
OMAHA #1, M, 804
OMAHA WSFO, M, 808
MULLEN 15S, M, 3511
YORK 3N, M, 3429
HASTINGS MUNI AP, M, 2671
CANADAY STEAM PLT, M, 308
JANSEN 3 NE, M, 2195
HUBBELL, 289.5, 2
HARDY, M, 60
SUPERIOR 4E, 236.4, 4
HAIGLER, M, 214
BARNESTON, M, 22
GUIDE ROCK, M, 30
RIVERTON, M, 3620
NAPONEE, 172.4, 6
HARLAN CO LAKE, M, 46
BENKELMAN, 257.6, 0
PAWNEE CITY, M, 199
WYMORE, M, 108
FAIRBURY, M, 78
RED CLOUD, 231.6, 6
ORLEANS 2 W, 253.2, 8
STAMFORD 2E, M, 3645
BEAVER CITY, M, 15
WILSONVILLE, M, 62
HEBRON, M, 149
TRENTON DAM, 215.0, 6
STRATTON, M, 11
TABLE ROCK 4 N, 203.1, 2
NELSON, M, 15
MC COOK #2, M, 366
CULBERTSON, M, 15
VIRGINIA, 224.7, 5
BEATRICE, M, 3471
EDISON, M, 3649
CAMBRIDGE, M, 119
PRAGUE, 299.6, 4
BRUNING, 231.6, 1
DEWEESE 4 SE, 258.4, 1
BLUE HILL 4 SW, M, 31
UPLAND, 208.0, 1
RAGAN, M, 131
AUBURN 5 ESE, 300.9, 3
TECUMSEH, M, 274
ATLANTA 2 WNW, M, 1784
MEDICINE CREEK DAM, M, 83
RED WILLOW DAM, M, 57
PALISADE, M, 13
BROWNVILLE, M, 3607
WESTERN, M, 66
HOLDREGE, 235.6, 6
BENKELMAN 3.7 WNW, M, 3540
WAUNETA 10.0 SW, M, 3609
FAIRMONT 1.5 E, M, 3589
SHICKLEY 2.7 S, M, 3607
FAIRMONT 3.6 ENE, M, 3633
NAPONEE 0.1 NNE, M, 3475
INDIANOLA 9.5 N, M, 3593
ARAPAHOE 4.2 W, M, 3514
WILSONVILLE 9.1 SE, M, 3603
BEATRICE 1.0 NE, M, 3626
ODELL 4.3 WSW, M, 3643
LIBERTY 3.1 SW, M, 3646
WILBER 6.9 E, M, 3647
OSHKOSH 5.2 W, M, 3579
BERTRAND 9.2 SSW, M, 3499
ARAPAHOE 6.9 NW, M, 3624
WOOD RIVER 0.2 NNE, M, 3592
WOOD RIVER 5.2 SSE, M, 3467
KENESAW 6.1 NNW, M, 3616
HORDVILLE 1.5 S, M, 3595
MARQUETTE 3.2 E, M, 3593
STAMFORD 1.9 E, M, 3561
MAYWOOD 12.4 WSW, M, 3556
CULBERTSON 6.0 WNW, M, 3641
STRATTON 5.7 NNW, M, 3571
TRENTON 3.9 W, M, 3604
CULBERTSON 3.8 SW, M, 3650
MULLEN 11.9 SSW, M, 3505
THEDFORD 23 N, M, 3645
DILLER 0.2 NW, M, 3646
HEARTWELL 3.7 S, M, 3595
MINDEN 0.4 ESE, M, 3530
OGALLALA 8.3 ESE, M, 3608
PAXTON 4.2 NNE, M, 3525
PAXTON 11.1 N, M, 3581
KIMBALL 5.8 NE, M, 3576
MERRIMAN, M, 340
FRANKLIN 2, M, 34
NENZEL 23 SSW, M, 3315
OVERTON 3 W, M, 1580
BEATRICE 1N, 205.5, 9
CRAWFORD, M, 1712
GENOA, M, 3620
CROFTON, 343.0, 2
PAPILLION, M, 2392
STAPLETON 5 W, M, 11
NEBRASKA CITY 2, M, 3645
ALLEN, M, 3354
PLATTE CTR, M, 798
OXFORD 7 NW, M, 102
BELLEVUE, M, 1640
LINDSAY, M, 1983
SHICKLEY 4 S, M, 38
ROYAL 2SE, M, 210
VALLEY 1 WNW, M, 33
SHELBY 3 NE, M, 35
SPRINGFIELD 7 E, M, 728
RULO 2W, M, 94
COZAD, M, 3624
HADAR #2, M, 1990
NICKERSON 5 NW, M, 1454
GRAND ISLAND, M, 999
PARKS 17N, M, 805
TRYON 15 NW, M, 3624
GRETNA 4 NE, M, 879
HYANNIS 5N, M, 981
ASHBY 20 SSW, M, 3360
MAX 13N, M, 943
DANNEBROG #2, M, 1062
IMPERIAL 13 N, M, 3028
KILGORE 1 NE, M, 1305
NORTH PLATTE 10 S, M, 1830
VALENTINE #1, M, 1552
NORFOLK 4W, M, 1141
GERING 1 NW, M, 3616
LODGEPOLE 8N, M, 1401
SWAN LAKE, M, 1496
MC COOK, M, 75
NORFOLK KARL STEFAN AP, 251.0, 1
CLAY CTR, M, 128
LEWELLEN, 223.2, 7
OSHKOSH 8 SW, M, 26
FULLERTON, M, 127
LOUP CITY 6 NNE, M, 829
BENNINGTON 3 WSW, M, 582
FREMONT, M, 12
WOLBACH, M, 96
ARCADIA, M, 45
BROKEN BOW 2 W, M, 94
ARNOLD, M, 351
OSHKOSH, M, 39
DALTON, M, 96
NORTH BEND, M, 3637
SCHUYLER, M, 16
COLUMBUS 3 NE, M, 13
GENOA 2 W, 265.8, 4
NICKERSON 4 NW, M, 3047
NORTH LOUP, 301.5, 1
OSHKOSH 10 NE, M, 3615
LISCO, M, 99
BLAIR, M, 1043
GREELEY, M, 49
COMSTOCK, M, 1135
ARTHUR, 222.2, 4
ORD #2, M, 39
SARGENT, M, 133
ANSELMO 2 SE, M, 26
ORD EVELYN SHARP FLD, M, 3228
ALBION, M, 120
BRIDGEPORT, M, 45
HARRISBURG 12WNW, 412.9, 8
UEHLING, M, 1236
DODGE, M, 11
HOWELLS, 232.8, 3
CLARKSON, M, 364
CRESTON, M, 3642
TEKAMAH, M, 95
LORETTO 7W, 321.6, 4
TAYLOR, 294.8, 6
CRESCENT LAKE, M, 76
WEST POINT, 274.5, 7
MADISON 2W, M, 59
ERICSON 6 WNW, M, 131
BARTLETT 1S, M, 262
SCOTTSBLUFF HEILIG AP, M, 63
LYONS, M, 14
LYMAN, M, 83
BEEMER, M, 1401
STANTON, M, 738
ELGIN, M, 29
BREWSTER, M, 1269
MITCHELL 5 E, M, 1539
WILBER 7.0 WSW, M, 3624
SWANTON 52.2 E, M, 3648
SCOTTSBLUFF 16.4 WNW, M, 3530
GERING 3.9 S, M, 3538
TOBIAS 5.0 SSW, M, 3628
THEDFORD 6.8 W, M, 3632
COMSTOCK 7.8 ENE, M, 3597
YORK 3.5 NNE, M, 3602
LOUP CITY 0.3 NW, M, 3476
ELSIE 16.4 S, M, 3628
FAIRMONT 0.2 SSE, M, 3445
FAIRBURY 8.1 W, M, 3622
DIX 3.9 NNW, M, 3624
DORCHESTER 4.5 SSE, M, 3630
DEWITT 4.6 SSW, M, 3652
PILGER, M, 1134
