Name, TotalSnowfall, mcnt
CLAY CTR 6 ESE, M, 310
OMAHA EPPLEY AIRFIELD, 274.1, 2
CHADRON MUNI AP, M, 15
BURWELL, M, 1522
FALLS CITY, M, 1128
FALLS CITY BRENNER FLD, M, 92
MERRIMAN, M, 65
NENZEL 23 SSW, M, 2969
OVERTON 3 W, M, 3379
BEATRICE 1N, M, 3592
CRAWFORD, M, 3612
COZAD, M, 3644
MCCOOK MUNI AP, M, 278
NORFOLK KARL STEFAN AP, 408.8, 0
CLAY CTR, M, 351
MCCOOK, M, 295
WAUNETA, M, 92
ENDERS LAKE, M, 41
STERLING, M, 93
ELWOOD 8 S, M, 210
FIRTH, M, 370
GENEVA, M, 350
MINDEN, M, 31
BERTRAND, M, 310
STOCKVILLE, M, 238
HAYES CENTER, M, 35
IMPERIAL, 387.7, 0
HALLAM 2 N, M, 1443
KRAMER, M, 2831
HASTINGS 4 N, M, 141
LAMAR, M, 1006
HICKMAN, M, 32
SPRAGUE, M, 186
CRETE, 264.5, 3
FAIRMONT, 398.0, 4
CURTIS 3 NNE, M, 425
CRETE, M, 26
NEBRASKA CITY 2NW, M, 62
SYRACUSE, M, 89
ROCA 6NNE, M, 32
FRIEND 3E, M, 971
EUSTIS 2 NW, M, 26
MOOREFIELD, M, 36
BENNET, M, 306
KEARNEY 4 NE, M, 108
LINCOLN COLLEGE VIEW, M, 3168
MC COOL JUNCTION, M, 111
WELLFLEET, M, 126
LINCOLN UNIV PWR PLT, M, 56
EMERALD 1 W, M, 54
WALLACE 2 W, 313.5, 2
WEEPING WATER, M, 434
PLATTSMOUTH, M, 204
TRYON, M, 2341
Scottsbluff Area, 466.4, 0
Grand Island Area, 388.2, 0
North Platte Area, 329.7, 0
Lincoln Area, 301.0, 0
Norfolk Area, 408.8, 0
Omaha Area, 370.3, 0
Valentine Area, 427.6, 0
OMAHA WSFO, 372.6, 0
LINCOLN MUNI AP, 301.0, 0
YORK, M, 37
BRADSHAW, M, 63
AURORA, M, 15
MADRID, M, 62
MALCOLM, M, 190
SEWARD, 268.4, 3
UTICA, M, 254
MILLER, M, 392
GOTHENBURG, M, 717
RAYMOND 2NE, M, 693
STAPLEHURST, M, 689
GRESHAM 3W, M, 248
GRAND ISLAND AP, 388.2, 0
RAVENNA, M, 238
ASHLAND 2, M, 84
VALPARAISO, M, 941
ULYSSES, M, 817
SURPRISE, M, 1432
POLK, M, 30
OCONTO, M, 494
NORTH PLATTE EXP FM, M, 34
BIG SPRINGS, M, 632
CENTRAL CITY, M, 69
NORTH PLATTE RGNL AP, 329.7, 0
PAXTON, M, 322
OGALLALA, M, 290
SIDNEY MUNI AP, 480.3, 8
SIDNEY 6 NNW, M, 416
MEAD 6 S, M, 50
OSCEOLA, M, 100
OSCEOLA 9 W, M, 2681
HERSHEY 5 SSE, M, 648
LODGEPOLE, M, 216
WAHOO, M, 118
SAINT PAUL, M, 785
MASON CITY, M, 395
KINGSLEY DAM, M, 34
POTTER, 468.8, 5
KIMBALL 2NE, 536.5, 4
OMAHA RIVER, M, 2775
BOYS TOWN, M, 803
WATERLOO, 308.7, 10
DAVID CITY, M, 36
