Name, TotalSnowfall, mcnt
LOUP CITY, 417.1, 4
CANADAY STEAM PLT, M, 252
JANSEN 3 NE, M, 301
HUBBELL, M, 93
HARDY, M, 158
SUPERIOR 4E, M, 31
HAIGLER, M, 564
BARNESTON, M, 189
GUIDE ROCK, M, 40
NAPONEE, M, 34
HARLAN CO LAKE, M, 239
BENKELMAN, M, 100
PAWNEE CITY, M, 152
WYMORE, 303.6, 3
FAIRBURY, 271.4, 4
RED CLOUD, M, 193
FRANKLIN, M, 64
ALMA, M, 2469
ORLEANS 2 W, M, 525
STAMFORD 2E, M, 3653
BEAVER CITY, M, 35
WILSONVILLE, M, 917
HEBRON, 280.8, 4
TRENTON DAM, M, 392
STRATTON, M, 791
TABLE ROCK 4 N, 365.8, 3
NELSON, M, 35
RED WILLOW, M, 3623
CULBERTSON, 320.6, 4
VIRGINIA, M, 58
BEATRICE, M, 136
CAMBRIDGE, M, 66
BRUNING, M, 32
DEWEESE 4 SE, M, 88
BLUE HILL 4 SW, 280.6, 1
UPLAND, M, 180
RAGAN, M, 88
AUBURN 5 ESE, 368.5, 3
TECUMSEH, M, 64
ATLANTA 2 WNW, M, 45
MEDICINE CREEK DAM, M, 207
RED WILLOW DAM, M, 297
PALISADE, 343.9, 1
WESTERN, M, 655
HOLDREGE, 348.8, 2
OSHKOSH 8 SW, M, 30
FULLERTON, M, 49
LOUP CITY 6 NNE, 373.3, 6
BENNINGTON 3 WSW, M, 1327
FREMONT, 353.9, 1
ORD 9 S, M, 3351
ARCADIA, M, 556
BROKEN BOW 2 W, M, 92
ARNOLD, M, 1084
STAPLETON 5 SSE, M, 459
OSHKOSH, M, 34
DALTON, M, 141
NORTH BEND, M, 3639
SCHUYLER, M, 158
COLUMBUS 3 NE, M, 49
GENOA 2 W, 376.5, 5
NORTH LOUP, 312.5, 8
LISCO, M, 1421
BLAIR, M, 152
GREELEY, M, 1073
COMSTOCK, M, 60
ARTHUR, 380.9, 1
ORD, M, 2711
ORD #2, M, 961
ANSELMO 2 SE, 448.4, 3
TRYON 6 NE, M, 2436
HERMAN, M, 2644
HERMAN 6 W, M, 2464
ALBION, M, 98
BRIDGEPORT, 439.2, 1
HARRISBURG 12WNW, 533.5, 0
DODGE, M, 183
HOWELLS, M, 1253
CLARKSON, M, 112
TEKAMAH, M, 163
TAYLOR, M, 41
CRESCENT LAKE, 406.4, 7
WEST POINT, M, 46
MADISON 2W, M, 12
ERICSON 6 WNW, M, 194
BARTLETT 1S, M, 165
SCOTTSBLUFF HEILIG AP, 466.4, 0
LYONS, M, 25
HALSEY 2 W, M, 686
LYMAN, M, 215
BEEMER, M, 193
STANTON, M, 56
ELGIN, 305.2, 9
BREWSTER, M, 582
MITCHELL 5 E, M, 438
BARTLETT 9 NW, M, 3563
PILGER, 318.1, 9
MEADOW GROVE, 405.8, 0
HYANNIS, 398.5, 5
OAKDALE, 380.8, 3
EWING 12 S, M, 2134
CHAMBERS, M, 736
PURDUM, M, 203
MULLEN, M, 356
ELLSWORTH, 448.5, 5
PENDER, M, 3624
NELIGH, 337.4, 3
ALLIANCE, M, 526
BOX BUTTE EXP STN, M, 1703
NW AG LAB, M, 2426
WALTHILL, M, 1363
WINSIDE, M, 101
ROSE 10 WNW, M, 35
ELSMERE, M, 93
WAYNE, M, 31
EMERSON, M, 96
WAKEFIELD, 439.0, 2
EWING, 359.4, 0
BROWNLEE, M, 315
MULLEN 21 NW, M, 1006
ELLSWORTH 15 NNE, M, 18
HOMER 3 NE, M, 550
RANDOLPH, M, 1830
NE NEBRASKA EXP STN, M, 14
RANDOLPH, M, 1828
OSMOND, M, 411
PLAINVIEW, M, 1249
ELLSWORTH 24 NNE, M, 13
HEMINGFORD, 559.9, 4
LAUREL, 459.4, 4
WHITMAN 24 N, M, 647
AGATE 3 E, M, 62
CREIGHTON, M, 810
O NEILL, M, 11
HAY SPRINGS 12 S, M, 33
ATKINSON 3SW, M, 65
AINSWORTH, 466.5, 2
VALENTINE NWR, M, 147
HARTINGTON, M, 109
BLOOMFIELD, 532.9, 0
NEWPORT, 539.8, 0
NEWCASTLE, M, 664
NENZEL 20 S, M, 917
HAY SPRINGS, M, 249
FT ROBINSON, M, 1815
HARRISON, M, 100
RUSHVILLE, M, 370
NIOBRARA, M, 85
LYNCH, M, 517
SPENCER 5 SSE, 374.6, 2
SPRINGVIEW, M, 53
GORDON 6 N, M, 1846
GAVINS POINT DAM, M, 726
VALENTINE MILLER FLD, 427.6, 0
BUTTE, 395.1, 0
